Area,Region,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q1 2017,Q1 2017,Q1 2017,Q1 2018,Q1 2018,Q1 2018,Q1 2018,Q1 2019,Q1 2019,Q1 2019,Q1 2019,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q1 2021,Q1 2021,Q1 2021,Q1 2021,Q1 2022,Q1 2022,Q1 2022,Q1 2022,Q1 2023,Q1 2023,Q1 2023,Q1 2023,Q1 2024,Q1 2024,Q1 2024,Q1 2024,Q1 2025
Pirangut,SBD - Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pashan,North Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baner,North Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aundh,North Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sus,North Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahalunge,Hinjewadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balewadi,Hinjewadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wakad,Hinjewadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinjewadi,Hinjewadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thergaon,Hinjewadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahatani,Hinjewadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pimple Nilakh,Hinjewadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pimple Gurav,Hinjewadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pimple Saudagar,Hinjewadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sangvi,Hinjewadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dapodi,North Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kasarwadi,North Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pimpri,North Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nehru Nagar,Hinjewadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinchwad,Hinjewadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vallabh Nagar,Hinjewadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalewadi,Hinjewadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tathawade,Hinjewadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punawale,Hinjewadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiwale,North Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravet,North Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akurdi,North Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walhekarwadi,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigdi,North Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dehu Road,North Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chikhali,North East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talawade,North East Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dehu,North Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talegaon Dabhade,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vadgaon,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonavala,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gahunje,North Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kudalwadi,North Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
